scan_timestamp_utc,date,asset_type,universe,ticker,signal,close,change_pct,rsi,puddle
2026-05-12T20:56:00+00:00,2026-05-01,Stock,NASDAQ100,PCAR,RSI & Puddle,116.08,-2.29,28.39,"3rd: MA120, 50% cash, 5d"
2026-05-12T20:56:00+00:00,2026-05-01,Stock,"S&P500,NASDAQ100",NFLX,RSI & Puddle,92.06,-1.66,29.02,"2nd: MA60, 50% cash, 5d"
2026-05-12T20:56:00+00:00,2026-05-01,Stock,NASDAQ100,ASML,Puddle,1427.02,-0.83,41.79,"1st: MA20, 10% cash"
2026-05-12T20:56:00+00:00,2026-05-01,Stock,NASDAQ100,CCEP,Puddle,94.18,-0.41,40.83,"3rd: MA120, 50% cash, 5d"
2026-05-12T20:56:00+00:00,2026-05-01,Stock,NASDAQ100,EA,Puddle,202.09,-0.14,44.34,"3rd: MA120, 50% cash, 5d"
2026-05-12T20:56:00+00:00,2026-05-01,Stock,NASDAQ100,MAR,Puddle,354.97,-1.86,46.68,"1st: MA20, 10% cash"
2026-05-12T20:56:00+00:00,2026-05-01,Stock,S&P500,APH,Puddle,142.3,-3.37,45.75,"1st: MA20, 10% cash"
2026-05-12T20:56:00+00:00,2026-05-01,Stock,S&P500,AXP,Puddle,319.68,-1.04,46.37,"1st: MA20, 10% cash"
2026-05-12T20:56:00+00:00,2026-05-01,Stock,S&P500,CVX,Puddle,190.63,-1.39,48.28,"2nd: MA60, 50% cash, 5d"
2026-05-12T20:56:00+00:00,2026-05-01,Stock,S&P500,DE,Puddle,577.26,-2.14,41.7,"1st: MA20, 10% cash"
2026-05-12T20:56:00+00:00,2026-05-01,Stock,S&P500,GLW,Puddle,158.26,-3.64,36.91,"1st: MA20, 10% cash"
2026-05-12T20:56:00+00:00,2026-05-01,Stock,S&P500,PGR,Puddle,199.31,-0.98,49.62,"1st: MA20, 10% cash"
2026-05-12T20:56:00+00:00,2026-05-01,Stock,S&P500,SPGI,Puddle,426.06,-1.2,46.17,"2nd: MA60, 50% cash, 5d"
2026-05-12T20:56:00+00:00,2026-05-01,Stock,S&P500,WFC,Puddle,80.35,-1.72,30.3,"1st: MA20, 10% cash"
2026-05-12T20:56:00+00:00,2026-05-01,Stock,S&P500,XOM,Puddle,152.75,-1.02,50.2,"2nd: MA60, 50% cash, 5d"
2026-05-12T20:56:00+00:00,2026-05-01,Stock,"S&P500,NASDAQ100",AMAT,Puddle,389.08,-1.37,46.62,"1st: MA20, 10% cash"
2026-05-12T20:56:00+00:00,2026-05-01,Stock,"S&P500,NASDAQ100",AMGN,Puddle,329.82,-4.75,33.44,"3rd: MA120, 50% cash, 5d"
2026-05-12T20:56:00+00:00,2026-05-01,Stock,"S&P500,NASDAQ100",LRCX,Puddle,256.72,-0.44,43.77,"1st: MA20, 10% cash"
