scan_timestamp_ct,date,asset_type,universe,rank,ticker,company_name,price,price_change_pct,signal,close,change_pct,rsi,puddle
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,1,VOO,Vanguard S&P 500 ETF,701.83,-0.27,Puddle,701.34,-0.34,39.88,"1st: MA20, 10% cash"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,2,IVV,iShares Core S&P 500 ETF,767.13,-0.28,Puddle,766.66,-0.34,40.16,"1st: MA20, 10% cash"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,3,SPY,State Street SPDR S&P 500 ETF,763.47,-0.29,Puddle,762.91,-0.37,39.96,"1st: MA20, 10% cash"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,4,VTI,Vanguard Total Stock Market ETF,377.07,-0.31,Puddle,376.85,-0.37,40.94,"1st: MA20, 10% cash"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,5,QQQ,Invesco QQQ Trust Series I,706.32,-1.0,Puddle,703.29,-1.42,35.23,"1st: MA20, 10% cash"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,7,VUG,Vanguard Growth ETF,86.93,-0.65,Puddle,86.82,-0.78,33.28,"1st: MA20, 10% cash"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,12,IEMG,iShares Core MSCI Emerging Markets ETF,80.49,-1.32,Puddle,80.2,-1.68,49.8,"2nd: MA60, 50% cash, 5d"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,15,IWF,iShares Russell 1000 Growth ETF,121.04,-1.1,Puddle,120.92,-1.2,34.41,"2nd: MA60, 50% cash, 5d"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,17,VGT,Vanguard Information Technology ETF,116.42,-1.69,Puddle,116.05,-2.0,34.88,"2nd: MA60, 50% cash, 5d"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,19,SPYM,State Street SPDR Portfolio S&P 500 ETF,89.88,-0.28,Puddle,89.82,-0.34,40.08,"1st: MA20, 10% cash"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,23,XLK,State Street Technology Select Sector SPDR ETF,180.05,-1.78,Puddle,179.1,-2.3,33.39,"1st: MA20, 10% cash"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,26,ITOT,iShares Core S&P Total U.S. Stock Market ETF,167.41,-0.33,Puddle,167.34,-0.38,41.17,"1st: MA20, 10% cash"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,29,IWM,iShares Russell 2000 ETF,297.97,-0.66,Puddle,298.3,-0.55,43.87,"1st: MA20, 10% cash"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,34,QQQM,Invesco NASDAQ 100 ETF,290.81,-1.0,Puddle,289.6,-1.42,35.16,"1st: MA20, 10% cash"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,36,IVW,iShares S&P 500 Growth ETF,137.88,-0.68,Puddle,137.66,-0.84,30.9,"1st: MA20, 10% cash"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,38,SCHX,Schwab U.S. Large-Cap ETF,30.13,-0.26,Puddle,30.12,-0.3,41.07,"1st: MA20, 10% cash"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,47,QUAL,iShares MSCI USA Quality Factor ETF,223.8,0.26,Puddle,223.06,-0.07,41.14,"1st: MA20, 10% cash"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,49,VV,Vanguard Large Cap ETF,351.65,-0.27,Puddle,351.38,-0.35,39.97,"1st: MA20, 10% cash"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,55,SPYG,State Street SPDR Portfolio S&P 500 Growth ETF,119.34,-0.72,Puddle,119.15,-0.88,30.65,"1st: MA20, 10% cash"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,67,SCHB,Schwab U.S. Broad Market ETF,29.52,-0.3,Puddle,29.5,-0.37,41.38,"1st: MA20, 10% cash"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,70,VONG,Vanguard Russell 1000 Growth ETF,124.66,-1.06,Puddle,124.48,-1.2,34.19,"2nd: MA60, 50% cash, 5d"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,77,JEPQ,JPMorgan NASDAQ Equity Premium Income ETF,59.42,-0.7,Puddle,59.19,-1.09,44.48,"2nd: MA60, 50% cash, 5d"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,80,DYNF,iShares U.S. Equity Factor Rotation Active ETF,68.85,-0.33,Puddle,68.72,-0.52,37.25,"1st: MA20, 10% cash"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,86,MGK,Vanguard Mega Cap Growth ETF,88.36,-0.66,Puddle,88.22,-0.82,34.29,"1st: MA20, 10% cash"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,88,OEF,iShares S&P 100 ETF,376.87,-0.26,Puddle,376.61,-0.33,37.72,"1st: MA20, 10% cash"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,90,TQQQ,ProShares UltraPro QQQ,69.01,-3.03,Puddle,68.07,-4.36,34.07,"1st: MA20, 10% cash"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,92,EEM,iShares MSCI Emerging Markets ETF,66.11,-1.5,Puddle,65.81,-1.95,48.99,"2nd: MA60, 50% cash, 5d"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,95,IUSG,iShares Core S&P U.S. Growth ETF,188.48,-0.71,Puddle,188.12,-0.9,31.2,"1st: MA20, 10% cash"
2026-08-24T21:58:00-05:00,2026-08-24,ETF,ETF,98,VXF,Vanguard Extended Market ETF,243.43,-0.86,Puddle,243.84,-0.69,45.8,"1st: MA20, 10% cash"
2026-08-24T21:58:00-05:00,2026-08-24,Stock,"S&P500,NASDAQ100",S1/N1,NVDA,NVIDIA Corp,208.48,-2.91,Puddle,209.13,-2.6,46.73,"1st: MA20, 10% cash"
2026-08-24T21:58:00-05:00,2026-08-24,Stock,"S&P500,NASDAQ100",S12/N11,MU,Micron Technology Inc,910.43,-5.83,Puddle,900.21,-6.89,51.02,"2nd: MA60, 50% cash, 5d"
2026-08-24T21:58:00-05:00,2026-08-24,Stock,"S&P500,NASDAQ100",S29/N19,LRCX,Lam Research Corp,310.17,-1.22,Puddle,301.77,-3.89,43.61,"1st: MA20, 10% cash"
2026-08-24T21:58:00-05:00,2026-08-24,Stock,"S&P500,NASDAQ100",S76/N37,QCOM,QUALCOMM Inc,158.53,-1.38,Puddle,156.68,-2.53,41.98,"1st: MA20, 10% cash"
