scan_timestamp_ct,date,asset_type,universe,rank,ticker,company_name,price,price_change_pct,signal,close,change_pct,rsi,puddle
2026-06-02T23:14:00-05:00,2026-06-02,Stock,S&P500,76,BLK,Blackrock Inc,1018.96,-0.17,RSI & Puddle,1015.47,-0.52,29.84,"2nd: MA60, 50% cash, 5d"
2026-06-02T23:14:00-05:00,2026-06-02,ETF,ETF,63,XLV,State Street Health Care Select Sector SPDR ETF,146.4,-0.97,Puddle,146.15,-1.14,50.93,"2nd: MA60, 50% cash, 5d"
2026-06-02T23:14:00-05:00,2026-06-02,ETF,ETF,97,XLC,State Street Communication Services Select Sector SPDR ETF,113.57,-1.76,Puddle,114.12,-1.29,40.29,"2nd: MA60, 50% cash, 5d"
2026-06-02T23:14:00-05:00,2026-06-02,Stock,NASDAQ100,46,VRTX,Vertex Pharmaceuticals Inc,425.09,-3.04,Puddle,426.23,-2.78,33.45,"1st: MA20, 10% cash"
2026-06-02T23:14:00-05:00,2026-06-02,Stock,NASDAQ100,57,MELI,"Mercado Libre, Inc",1672.83,-3.36,Puddle,1693.02,-2.19,64.07,"2nd: MA60, 50% cash, 5d"
2026-06-02T23:14:00-05:00,2026-06-02,Stock,S&P500,59,VZ,Verizon Communications Inc,47.87,0.29,Puddle,47.56,-0.36,45.99,"1st: MA20, 10% cash"
2026-06-02T23:14:00-05:00,2026-06-02,Stock,NASDAQ100,61,ABNB,"Airbnb, Inc. Class A Common Stock",134.35,-2.55,Puddle,134.44,-2.49,48.19,"1st: MA20, 10% cash"
2026-06-02T23:14:00-05:00,2026-06-02,Stock,NASDAQ100,67,DASH,"DoorDash, Inc. Class A Common Stock",156.95,-4.75,Puddle,159.3,-3.33,53.4,"2nd: MA60, 50% cash, 5d"
2026-06-02T23:14:00-05:00,2026-06-02,Stock,S&P500,68,DIS,Walt Disney Co/The,101.41,-1.4,Puddle,101.11,-1.69,34.65,"2nd: MA60, 50% cash, 5d"
2026-06-02T23:14:00-05:00,2026-06-02,Stock,S&P500,70,BA,Boeing Co/The,217.7,-2.94,Puddle,216.93,-3.29,35.01,"3rd: MA120, 50% cash, 5d"
2026-06-02T23:14:00-05:00,2026-06-02,Stock,S&P500,73,CRM,Salesforce Inc,200.84,-4.18,Puddle,198.22,-5.43,67.68,"3rd: MA120, 50% cash, 5d"
2026-06-02T23:14:00-05:00,2026-06-02,Stock,NASDAQ100,75,EA,Electronic Arts Inc,202.01,0.0,Puddle,201.79,-0.1,67.72,"3rd: MA120, 50% cash, 5d"
2026-06-02T23:14:00-05:00,2026-06-02,Stock,NASDAQ100,76,ADSK,Autodesk Inc,236.66,-4.63,Puddle,236.51,-4.69,51.21,"2nd: MA60, 50% cash, 5d"
2026-06-02T23:14:00-05:00,2026-06-02,Stock,NASDAQ100,82,IDXX,Idexx Laboratories Inc,550.82,-2.82,Puddle,550.66,-2.85,58.87,"1st: MA20, 10% cash"
2026-06-02T23:14:00-05:00,2026-06-02,Stock,NASDAQ100,84,TTWO,Take-Two Interactive Software Inc,222.38,-2.03,Puddle,219.99,-3.08,45.0,"3rd: MA120, 50% cash, 5d"
2026-06-02T23:14:00-05:00,2026-06-02,Stock,NASDAQ100,87,PYPL,"PayPal Holdings, Inc. Common Stock",44.53,-1.46,Puddle,44.44,-1.66,39.92,"1st: MA20, 10% cash"
2026-06-02T23:14:00-05:00,2026-06-02,Stock,NASDAQ100,88,ALNY,"Alnylam Pharmaceuticals, Inc.",286.12,-3.22,Puddle,287.08,-2.89,45.62,"1st: MA20, 10% cash"
2026-06-02T23:14:00-05:00,2026-06-02,Stock,NASDAQ100,89,TRI,Thomson Reuters Corporation Common Shares,86.33,-8.12,Puddle,87.08,-7.32,50.5,"2nd: MA60, 50% cash, 5d"
2026-06-02T23:14:00-05:00,2026-06-02,Stock,NASDAQ100,90,WDAY,"Workday, Inc. Class A Common Stock",148.88,-5.31,Puddle,146.26,-6.98,67.94,"3rd: MA120, 50% cash, 5d"
2026-06-02T23:14:00-05:00,2026-06-02,Stock,S&P500,93,SPGI,S&P Global Inc,417.46,-2.59,Puddle,413.86,-3.43,44.75,"2nd: MA60, 50% cash, 5d"
2026-06-02T23:14:00-05:00,2026-06-02,Stock,NASDAQ100,95,GEHC,GE HealthCare Technologies Inc. Common Stock,61.99,-1.12,Puddle,61.88,-1.29,47.91,"1st: MA20, 10% cash"
2026-06-02T23:14:00-05:00,2026-06-02,Stock,NASDAQ100,96,KHC,The Kraft Heinz Company Common Stock,23.33,-1.27,Puddle,23.3,-1.4,49.02,"1st: MA20, 10% cash"
2026-06-02T23:14:00-05:00,2026-06-02,Stock,NASDAQ100,97,CTSH,Cognizant Technology Solutions,55.14,-3.53,Puddle,54.21,-5.16,67.8,"2nd: MA60, 50% cash, 5d"
2026-06-02T23:14:00-05:00,2026-06-02,Stock,NASDAQ100,98,VRSK,"Verisk Analytics, Inc. Common Stock",179.1,-2.65,Puddle,175.91,-4.38,60.08,"2nd: MA60, 50% cash, 5d"
2026-06-02T23:14:00-05:00,2026-06-02,Stock,NASDAQ100,99,ZS,"Zscaler, Inc. Common Stock",144.15,-7.42,Puddle,141.55,-9.09,48.45,"2nd: MA60, 50% cash, 5d"
