scan_timestamp_ct,date,asset_type,universe,rank,ticker,company_name,price,price_change_pct,signal,close,change_pct,rsi,puddle
2026-08-07T14:54:00-05:00,2026-08-07,ETF,ETF,71,XLE,State Street Energy Select Sector SPDR ETF,57.35,-1.38,Puddle,57.56,-1.03,47.98,"1st: MA20, 10% cash"
2026-08-07T14:54:00-05:00,2026-08-07,Stock,S&P500,33,CVX,Chevron Corp,186.0,-1.71,Puddle,186.89,-1.24,46.2,"3rd: MA120, 50% cash, 5d"
2026-08-07T14:54:00-05:00,2026-08-07,Stock,"S&P500,NASDAQ100",S66/N34,STX,Seagate Technology Holdings PLC,817.59,-4.15,Puddle,787.79,-7.64,48.57,"1st: MA20, 10% cash"
2026-08-07T14:54:00-05:00,2026-08-07,Stock,"S&P500,NASDAQ100",S69/N35,SNDK,Sandisk Corp/DE,1216.14,-3.37,Puddle,1201.5,-4.54,44.01,"3rd: MA120, 50% cash, 5d"
2026-08-07T14:54:00-05:00,2026-08-07,Stock,S&P500,36,PG,Procter & Gamble Co/The,145.54,-0.97,Puddle,145.65,-0.9,40.22,"2nd: MA60, 50% cash, 5d"
2026-08-07T14:54:00-05:00,2026-08-07,Stock,S&P500,37,MRK,Merck & Co Inc,128.42,0.04,Puddle,127.09,-1.0,59.09,"1st: MA20, 10% cash"
2026-08-07T14:54:00-05:00,2026-08-07,Stock,"S&P500,NASDAQ100",S83/N39,WDC,Western Digital Corp,433.81,-3.92,Puddle,427.35,-5.35,42.68,"3rd: MA120, 50% cash, 5d"
2026-08-07T14:54:00-05:00,2026-08-07,Stock,S&P500,44,WFC,Wells Fargo & Co,87.18,-0.47,Puddle,86.66,-1.06,51.08,"1st: MA20, 10% cash"
2026-08-07T14:54:00-05:00,2026-08-07,Stock,NASDAQ100,52,CSX,CSX Corporation,50.22,-0.96,Puddle,50.29,-0.81,50.95,"1st: MA20, 10% cash"
2026-08-07T14:54:00-05:00,2026-08-07,Stock,NASDAQ100,53,MAR,Marriott International Class A Common Stock,354.23,-1.51,Puddle,357.79,-0.52,44.64,"3rd: MA120, 50% cash, 5d"
2026-08-07T14:54:00-05:00,2026-08-07,Stock,NASDAQ100,57,MNST,Monster Beverage Corporation,90.91,-3.45,Puddle,90.77,-3.6,37.19,"2nd: MA60, 50% cash, 5d"
2026-08-07T14:54:00-05:00,2026-08-07,Stock,S&P500,73,UNP,Union Pacific Corp,293.04,-0.79,Puddle,294.08,-0.44,47.7,"1st: MA20, 10% cash"
2026-08-07T14:54:00-05:00,2026-08-07,Stock,NASDAQ100,74,TER,"Teradyne, Inc. Common Stock",377.91,-1.81,Puddle,375.11,-2.54,59.4,"2nd: MA60, 50% cash, 5d"
