scan_timestamp_ct,date,asset_type,universe,rank,ticker,company_name,price,price_change_pct,signal,close,change_pct,rsi,puddle
2026-05-20T16:55:00-05:00,2026-05-20,Stock,"S&P500,NASDAQ100",S52/N27,TMUS,T-Mobile US Inc,190.16,-1.69,Puddle,189.97,-1.78,40.79,"1st: MA20, 10% cash"
2026-05-20T16:55:00-05:00,2026-05-20,Stock,"S&P500,NASDAQ100",S57/N30,ADI,Analog Devices Inc,398.05,-3.92,Puddle,384.35,-7.23,41.95,"1st: MA20, 10% cash"
2026-05-20T16:55:00-05:00,2026-05-20,Stock,NASDAQ100,44,VRTX,Vertex Pharmaceuticals Inc,430.44,-0.89,Puddle,428.03,-1.45,50.44,"1st: MA20, 10% cash"
2026-05-20T16:55:00-05:00,2026-05-20,Stock,NASDAQ100,46,ADBE,Adobe Inc.,253.37,-0.64,Puddle,249.71,-2.07,52.68,"2nd: MA60, 50% cash, 5d"
2026-05-20T16:55:00-05:00,2026-05-20,Stock,NASDAQ100,51,INTU,Intuit Inc,383.93,-3.95,Puddle,383.78,-3.99,48.33,"1st: MA20, 10% cash"
2026-05-20T16:55:00-05:00,2026-05-20,Stock,NASDAQ100,74,ADSK,Autodesk Inc,243.63,-0.22,Puddle,240.57,-1.47,52.81,"2nd: MA60, 50% cash, 5d"
2026-05-20T16:55:00-05:00,2026-05-20,Stock,NASDAQ100,76,EA,Electronic Arts Inc,201.59,-0.05,Puddle,201.21,-0.24,37.39,"2nd: MA60, 50% cash, 5d"
2026-05-20T16:55:00-05:00,2026-05-20,Stock,S&P500,77,ABT,Abbott Laboratories,88.38,-0.5,Puddle,87.92,-1.01,42.33,"1st: MA20, 10% cash"
2026-05-20T16:55:00-05:00,2026-05-20,Stock,S&P500,85,CRM,Salesforce Inc,180.1,0.38,Puddle,177.54,-1.05,50.88,"1st: MA20, 10% cash"
2026-05-20T16:55:00-05:00,2026-05-20,Stock,NASDAQ100,87,KDP,Keurig Dr Pepper Inc.,28.69,-0.55,Puddle,28.73,-0.42,40.67,"1st: MA20, 10% cash"
2026-05-20T16:55:00-05:00,2026-05-20,Stock,NASDAQ100,93,WDAY,"Workday, Inc. Class A Common Stock",126.61,-2.11,Puddle,126.53,-2.17,54.05,"2nd: MA60, 50% cash, 5d"
