scan_timestamp_ct,date,asset_type,universe,rank,ticker,company_name,price,price_change_pct,signal,close,change_pct,rsi,puddle
2026-06-11T16:21:00-05:00,2026-06-11,Stock,"S&P500,NASDAQ100",S5/N5,GOOGL,Alphabet Inc,357.77,0.39,RSI & Puddle,348.26,-2.28,26.08,"2nd: MA60, 50% cash, 5d"
2026-06-11T16:21:00-05:00,2026-06-11,Stock,"S&P500,NASDAQ100",S6/N6,GOOG,Alphabet Inc,356.56,0.92,RSI & Puddle,346.0,-2.07,26.77,"2nd: MA60, 50% cash, 5d"
2026-06-11T16:21:00-05:00,2026-06-11,Stock,S&P500,17,V,Visa Inc,319.05,-1.21,Puddle,320.8,-0.67,39.36,"3rd: MA120, 50% cash, 5d"
2026-06-11T16:21:00-05:00,2026-06-11,Stock,NASDAQ100,39,SHOP,Shopify Inc. Class A subordinate voting shares,110.47,2.1,Puddle,105.53,-2.47,50.67,"1st: MA20, 10% cash"
2026-06-11T16:21:00-05:00,2026-06-11,Stock,S&P500,52,AXP,American Express Co,318.49,1.64,Puddle,311.82,-0.49,52.0,"2nd: MA60, 50% cash, 5d"
2026-06-11T16:21:00-05:00,2026-06-11,Stock,S&P500,67,TMO,Thermo Fisher Scientific Inc,475.66,-1.32,Puddle,477.47,-0.95,60.92,"2nd: MA60, 50% cash, 5d"
2026-06-11T16:21:00-05:00,2026-06-11,Stock,NASDAQ100,80,IDXX,Idexx Laboratories Inc,557.91,0.17,Puddle,553.46,-0.62,50.17,"1st: MA20, 10% cash"
2026-06-11T16:21:00-05:00,2026-06-11,Stock,S&P500,83,BX,Blackstone Inc,120.88,2.03,Puddle,117.76,-0.61,48.7,"2nd: MA60, 50% cash, 5d"
2026-06-11T16:21:00-05:00,2026-06-11,Stock,NASDAQ100,88,AXON,"Axon Enterprise, Inc. Common Stock",446.2,-0.31,Puddle,431.36,-3.63,58.97,"1st: MA20, 10% cash"
2026-06-11T16:21:00-05:00,2026-06-11,Stock,S&P500,89,DHR,Danaher Corp,180.79,-1.55,Puddle,181.7,-1.05,59.56,"2nd: MA60, 50% cash, 5d"
2026-06-11T16:21:00-05:00,2026-06-11,Stock,NASDAQ100,92,WDAY,"Workday, Inc. Class A Common Stock",130.53,-5.05,Puddle,133.34,-3.0,58.26,"1st: MA20, 10% cash"
2026-06-11T16:21:00-05:00,2026-06-11,Stock,S&P500,95,SPGI,S&P Global Inc,413.34,-3.06,Puddle,414.31,-2.83,49.72,"2nd: MA60, 50% cash, 5d"
2026-06-11T16:21:00-05:00,2026-06-11,Stock,S&P500,97,SYK,Stryker Corp,305.64,-1.04,Puddle,304.22,-1.5,43.21,"1st: MA20, 10% cash"
2026-06-11T16:21:00-05:00,2026-06-11,Stock,S&P500,98,PGR,Progressive Corp/The,202.26,-0.95,Puddle,203.76,-0.22,56.24,"3rd: MA120, 50% cash, 5d"
