scan_timestamp_utc,date,asset_type,universe,ticker,signal,close,change_pct,rsi,puddle
2026-05-12T21:02:00+00:00,2026-05-11,Stock,S&P500,ANET,RSI & Puddle,136.43,-3.77,23.89,"4th: MA200, RSI<=30, 100% cash, 40d"
2026-05-12T21:02:00+00:00,2026-05-11,ETF,ETF,AGG,Puddle,98.92,-0.26,46.31,"2nd: MA60, 50% cash, 5d"
2026-05-12T21:02:00+00:00,2026-05-11,ETF,ETF,BND,Puddle,73.37,-0.24,46.26,"2nd: MA60, 50% cash, 5d"
2026-05-12T21:02:00+00:00,2026-05-11,ETF,ETF,HYG,Puddle,79.98,-0.2,50.6,"1st: MA20, 10% cash"
2026-05-12T21:02:00+00:00,2026-05-11,ETF,ETF,LQD,Puddle,108.93,-0.25,47.1,"2nd: MA60, 50% cash, 5d"
2026-05-12T21:02:00+00:00,2026-05-11,ETF,ETF,SHY,Puddle,82.22,-0.1,48.91,"1st: MA20, 10% cash"
2026-05-12T21:02:00+00:00,2026-05-11,ETF,ETF,TLT,Puddle,85.56,-0.6,43.4,"1st: MA20, 10% cash"
2026-05-12T21:02:00+00:00,2026-05-11,ETF,ETF,XLC,Puddle,115.58,-1.16,42.04,"1st: MA20, 10% cash"
2026-05-12T21:02:00+00:00,2026-05-11,ETF,ETF,XLP,Puddle,83.37,-0.96,59.8,"2nd: MA60, 50% cash, 5d"
2026-05-12T21:02:00+00:00,2026-05-11,Stock,NASDAQ100,ABNB,Puddle,137.05,-3.14,36.7,"1st: MA20, 10% cash"
2026-05-12T21:02:00+00:00,2026-05-11,Stock,NASDAQ100,ADBE,Puddle,246.15,-2.72,49.33,"2nd: MA60, 50% cash, 5d"
2026-05-12T21:02:00+00:00,2026-05-11,Stock,NASDAQ100,ADSK,Puddle,236.07,-3.45,43.24,"2nd: MA60, 50% cash, 5d"
2026-05-12T21:02:00+00:00,2026-05-11,Stock,NASDAQ100,AXON,Puddle,394.36,-2.27,46.06,"1st: MA20, 10% cash"
2026-05-12T21:02:00+00:00,2026-05-11,Stock,NASDAQ100,CEG,Puddle,299.69,-1.3,59.47,"2nd: MA60, 50% cash, 5d"
2026-05-12T21:02:00+00:00,2026-05-11,Stock,NASDAQ100,CPRT,Puddle,33.27,-1.97,42.99,"1st: MA20, 10% cash"
2026-05-12T21:02:00+00:00,2026-05-11,Stock,NASDAQ100,FAST,Puddle,43.3,-1.97,36.19,"3rd: MA120, 50% cash, 5d"
2026-05-12T21:02:00+00:00,2026-05-11,Stock,NASDAQ100,INTU,Puddle,393.29,-0.76,45.84,"1st: MA20, 10% cash"
2026-05-12T21:02:00+00:00,2026-05-11,Stock,NASDAQ100,KHC,Puddle,23.26,-2.92,68.08,"3rd: MA120, 50% cash, 5d"
2026-05-12T21:02:00+00:00,2026-05-11,Stock,NASDAQ100,ORLY,Puddle,91.35,-1.73,43.96,"2nd: MA60, 50% cash, 5d"
2026-05-12T21:02:00+00:00,2026-05-11,Stock,NASDAQ100,ROST,Puddle,214.55,-4.99,31.39,"2nd: MA60, 50% cash, 5d"
2026-05-12T21:02:00+00:00,2026-05-11,Stock,NASDAQ100,TRI,Puddle,89.22,-4.0,35.97,"1st: MA20, 10% cash"
2026-05-12T21:02:00+00:00,2026-05-11,Stock,NASDAQ100,WDAY,Puddle,121.42,-5.01,43.16,"1st: MA20, 10% cash"
2026-05-12T21:02:00+00:00,2026-05-11,Stock,S&P500,AXP,Puddle,312.32,-1.17,35.42,"2nd: MA60, 50% cash, 5d"
2026-05-12T21:02:00+00:00,2026-05-11,Stock,S&P500,BAC,Puddle,50.55,-1.48,32.91,"2nd: MA60, 50% cash, 5d"
2026-05-12T21:02:00+00:00,2026-05-11,Stock,S&P500,CRM,Puddle,177.49,-2.38,42.27,"1st: MA20, 10% cash"
2026-05-12T21:02:00+00:00,2026-05-11,Stock,S&P500,DIS,Puddle,104.72,-3.05,50.98,"3rd: MA120, 50% cash, 5d"
2026-05-12T21:02:00+00:00,2026-05-11,Stock,S&P500,PG,Puddle,143.36,-2.09,54.2,"1st: MA20, 10% cash"
2026-05-12T21:02:00+00:00,2026-05-11,Stock,"S&P500,NASDAQ100",COST,Puddle,999.47,-0.92,47.77,"1st: MA20, 10% cash"
2026-05-12T21:02:00+00:00,2026-05-11,Stock,"S&P500,NASDAQ100",PEP,Puddle,149.41,-3.37,38.28,"3rd: MA120, 50% cash, 5d"
2026-05-12T21:02:00+00:00,2026-05-11,Stock,"S&P500,NASDAQ100",TMUS,Puddle,190.85,-1.44,45.36,"1st: MA20, 10% cash"
2026-05-12T21:02:00+00:00,2026-05-11,Stock,"S&P500,NASDAQ100",WMT,Puddle,127.59,-2.18,44.94,"1st: MA20, 10% cash"
