scan_timestamp_ct,date,asset_type,universe,rank,ticker,company_name,price,price_change_pct,signal,close,change_pct,rsi,puddle
2026-06-29T17:58:00-05:00,2026-06-29,ETF,ETF,42,IXUS,iShares Core MSCI Total International Stock ETF,94.79,0.56,Puddle,94.01,-0.27,49.33,"2nd: MA60, 50% cash, 5d"
2026-06-29T17:58:00-05:00,2026-06-29,Stock,NASDAQ100,13,ASML,ASML Holding NV,1883.11,4.93,Puddle,1789.54,-0.28,52.49,"1st: MA20, 10% cash"
2026-06-29T17:58:00-05:00,2026-06-29,Stock,S&P500,34,PG,Procter & Gamble Co/The,148.45,-0.38,Puddle,148.23,-0.53,56.86,"3rd: MA120, 50% cash, 5d"
2026-06-29T17:58:00-05:00,2026-06-29,Stock,"S&P500,NASDAQ100",S79/N37,GILD,Gilead Sciences Inc,126.33,-1.21,Puddle,126.18,-1.33,46.5,"1st: MA20, 10% cash"
2026-06-29T17:58:00-05:00,2026-06-29,Stock,S&P500,57,ANET,Arista Networks Inc,164.1,4.12,Puddle,157.01,-0.37,50.5,"2nd: MA60, 50% cash, 5d"
2026-06-29T17:58:00-05:00,2026-06-29,Stock,"S&P500,NASDAQ100",S83/N63,HON,Honeywell International Inc,227.8,-50.95,Puddle,247.85,-46.63,53.49,"1st: MA20, 10% cash"
2026-06-29T17:58:00-05:00,2026-06-29,Stock,NASDAQ100,65,NXPI,NXP Semiconductors N.V.,278.37,0.49,Puddle,275.14,-0.68,41.09,"2nd: MA60, 50% cash, 5d"
2026-06-29T17:58:00-05:00,2026-06-29,Stock,S&P500,65,TMO,Thermo Fisher Scientific Inc,506.42,-1.29,Puddle,504.11,-1.74,63.57,"3rd: MA120, 50% cash, 5d"
2026-06-29T17:58:00-05:00,2026-06-29,Stock,S&P500,67,VZ,Verizon Communications Inc,44.1,-5.24,Puddle,43.78,-5.93,42.77,"1st: MA20, 10% cash"
2026-06-29T17:58:00-05:00,2026-06-29,Stock,NASDAQ100,68,ROST,Ross Stores Inc,208.83,-2.08,Puddle,210.24,-1.42,33.14,"3rd: MA120, 50% cash, 5d"
