scan_timestamp_utc,date,asset_type,universe,rank,ticker,company_name,signal,close,change_pct,rsi,puddle
2026-05-12T22:15:00+00:00,2026-04-29,Stock,NASDAQ100,41,FAST,Fastenal,RSI & Puddle,43.71,-2.17,26.18,"4th: MA200, RSI<=30, 100% cash, 40d"
2026-05-12T22:15:00+00:00,2026-04-29,ETF,ETF,6,VEA,Vanguard FTSE Developed Markets ETF,Puddle,67.08,-0.96,46.69,"1st: MA20, 10% cash"
2026-05-12T22:15:00+00:00,2026-04-29,ETF,ETF,8,IEFA,iShares Core MSCI EAFE ETF,Puddle,93.39,-0.94,40.33,"2nd: MA60, 50% cash, 5d"
2026-05-12T22:15:00+00:00,2026-04-29,ETF,ETF,10,AGG,iShares Core U.S. Aggregate Bond ETF,Puddle,98.63,-0.44,40.36,"3rd: MA120, 50% cash, 5d"
2026-05-12T22:15:00+00:00,2026-04-29,ETF,ETF,11,BND,Vanguard Total Bond Market ETF,Puddle,73.15,-0.45,41.18,"3rd: MA120, 50% cash, 5d"
2026-05-12T22:15:00+00:00,2026-04-29,ETF,ETF,23,VXUS,Vanguard Total International Stock ETF,Puddle,81.23,-0.81,50.94,"1st: MA20, 10% cash"
2026-05-12T22:15:00+00:00,2026-04-29,ETF,ETF,31,XLY,Consumer Discretionary Select Sector SPDR Fund,Puddle,116.84,-0.15,64.4,"3rd: MA120, 50% cash, 5d"
2026-05-12T22:15:00+00:00,2026-04-29,ETF,ETF,32,XLI,Industrial Select Sector SPDR Fund,Puddle,169.93,-0.61,44.11,"1st: MA20, 10% cash"
2026-05-12T22:15:00+00:00,2026-04-29,ETF,ETF,34,XLU,Utilities Select Sector SPDR Fund,Puddle,45.68,-1.23,35.45,"2nd: MA60, 50% cash, 5d"
2026-05-12T22:15:00+00:00,2026-04-29,ETF,ETF,35,XLB,Materials Select Sector SPDR Fund,Puddle,50.96,-0.86,40.63,"2nd: MA60, 50% cash, 5d"
2026-05-12T22:15:00+00:00,2026-04-29,ETF,ETF,37,XLC,Communication Services Select Sector SPDR Fund,Puddle,115.29,-0.4,54.53,"1st: MA20, 10% cash"
2026-05-12T22:15:00+00:00,2026-04-29,ETF,ETF,39,HYG,iShares iBoxx High Yield Corporate Bond ETF,Puddle,79.71,-0.34,46.84,"1st: MA20, 10% cash"
2026-05-12T22:15:00+00:00,2026-04-29,ETF,ETF,40,LQD,iShares iBoxx Investment Grade Corporate Bond ETF,Puddle,108.31,-0.55,41.09,"3rd: MA120, 50% cash, 5d"
2026-05-12T22:15:00+00:00,2026-04-29,ETF,ETF,42,SHY,iShares 1-3 Year Treasury Bond ETF,Puddle,82.15,-0.13,47.13,"2nd: MA60, 50% cash, 5d"
2026-05-12T22:15:00+00:00,2026-04-29,ETF,ETF,51,ARKK,ARK Innovation ETF,Puddle,73.53,-2.54,61.3,"1st: MA20, 10% cash"
2026-05-12T22:15:00+00:00,2026-04-29,ETF,ETF,52,EFA,iShares MSCI EAFE ETF,Puddle,99.93,-1.02,39.65,"2nd: MA60, 50% cash, 5d"
2026-05-12T22:15:00+00:00,2026-04-29,ETF,ETF,57,VGK,Vanguard FTSE Europe ETF,Puddle,85.14,-1.18,41.2,"2nd: MA60, 50% cash, 5d"
2026-05-12T22:15:00+00:00,2026-04-29,Stock,S&P500,10,BRK-B,Berkshire Hathaway Inc,Puddle,475.38,-0.58,37.86,"1st: MA20, 10% cash"
2026-05-12T22:15:00+00:00,2026-04-29,Stock,NASDAQ100,26,CCEP,Coca-Cola Europacific Partners,Puddle,93.75,-3.59,36.97,"3rd: MA120, 50% cash, 5d"
2026-05-12T22:15:00+00:00,2026-04-29,Stock,S&P500,33,PG,Procter & Gamble Co/The,Puddle,146.46,-1.82,51.87,"3rd: MA120, 50% cash, 5d"
2026-05-12T22:15:00+00:00,2026-04-29,Stock,NASDAQ100,38,DASH,DoorDash,Puddle,169.33,-1.54,62.14,"2nd: MA60, 50% cash, 5d"
2026-05-12T22:15:00+00:00,2026-04-29,Stock,S&P500,38,PM,Philip Morris International Inc,Puddle,162.71,-1.92,51.52,"3rd: MA120, 50% cash, 5d"
2026-05-12T22:15:00+00:00,2026-04-29,Stock,S&P500,40,GS,Goldman Sachs Group Inc/The,Puddle,905.6,-2.26,50.56,"1st: MA20, 10% cash"
2026-05-12T22:15:00+00:00,2026-04-29,Stock,"S&P500,NASDAQ100",52,PEP,PepsiCo Inc,Puddle,155.29,-0.64,43.7,"1st: MA20, 10% cash"
2026-05-12T22:15:00+00:00,2026-04-29,Stock,S&P500,55,VZ,Verizon Communications Inc,Puddle,46.61,-1.33,47.22,"1st: MA20, 10% cash"
2026-05-12T22:15:00+00:00,2026-04-29,Stock,NASDAQ100,57,MAR,Marriott International,Puddle,353.95,-1.22,50.83,"1st: MA20, 10% cash"
2026-05-12T22:15:00+00:00,2026-04-29,Stock,S&P500,59,DIS,Walt Disney Co/The,Puddle,101.3,-0.17,55.47,"1st: MA20, 10% cash"
2026-05-12T22:15:00+00:00,2026-04-29,Stock,S&P500,63,T,AT&T Inc,Puddle,25.75,-1.19,42.6,"3rd: MA120, 50% cash, 5d"
2026-05-12T22:15:00+00:00,2026-04-29,Stock,S&P500,67,BLK,Blackrock Inc,Puddle,1039.38,-0.99,59.93,"3rd: MA120, 50% cash, 5d"
2026-05-12T22:15:00+00:00,2026-04-29,Stock,NASDAQ100,72,ODFL,Old Dominion Freight Line,Puddle,209.35,-5.6,49.86,"1st: MA20, 10% cash"
2026-05-12T22:15:00+00:00,2026-04-29,Stock,"S&P500,NASDAQ100",80,ISRG,Intuitive Surgical Inc,Puddle,453.83,-2.75,49.57,"1st: MA20, 10% cash"
2026-05-12T22:15:00+00:00,2026-04-29,Stock,S&P500,81,BX,Blackstone Inc,Puddle,118.73,-1.39,54.25,"1st: MA20, 10% cash"
2026-05-12T22:15:00+00:00,2026-04-29,Stock,NASDAQ100,86,SHOP,Shopify,Puddle,121.26,-0.65,59.73,"2nd: MA60, 50% cash, 5d"
2026-05-12T22:15:00+00:00,2026-04-29,Stock,S&P500,89,PLD,Prologis Inc,Puddle,138.82,-1.91,52.0,"1st: MA20, 10% cash"
2026-05-12T22:15:00+00:00,2026-04-29,Stock,S&P500,90,NEM,Newmont Corp,Puddle,107.61,-2.08,39.06,"3rd: MA120, 50% cash, 5d"
2026-05-12T22:15:00+00:00,2026-04-29,Stock,S&P500,94,CB,Chubb Ltd,Puddle,325.75,-1.39,42.49,"2nd: MA60, 50% cash, 5d"
