scan_timestamp_ct,date,asset_type,universe,rank,ticker,company_name,price,price_change_pct,signal,close,change_pct,rsi,puddle
2026-09-10T13:10:00-05:00,2026-09-10,ETF,ETF,85,XLI,State Street Industrial Select Sector SPDR ETF,170.26,-0.89,RSI & Puddle,171.07,-0.42,26.64,"4th: MA200, RSI<=30, 100% cash, 40d"
2026-09-10T13:10:00-05:00,2026-09-10,Stock,"S&P500,NASDAQ100",S57/N29,AMGN,Amgen Inc,382.29,-2.3,RSI & Puddle,384.16,-1.82,24.78,"2nd: MA60, 50% cash, 5d"
2026-09-10T13:10:00-05:00,2026-09-10,Stock,S&P500,84,DHR,Danaher Corporation,201.34,-1.71,RSI & Puddle,202.19,-1.3,27.83,"4th: MA200, RSI<=30, 100% cash, 40d"
2026-09-10T13:10:00-05:00,2026-09-10,ETF,ETF,5,QQQ,Invesco QQQ Trust Series I,709.0,-1.02,Puddle,711.19,-0.71,50.23,"2nd: MA60, 50% cash, 5d"
2026-09-10T13:10:00-05:00,2026-09-10,ETF,ETF,15,IWF,iShares Russell 1000 Growth ETF,121.28,-0.96,Puddle,121.67,-0.65,49.35,"2nd: MA60, 50% cash, 5d"
2026-09-10T13:10:00-05:00,2026-09-10,ETF,ETF,16,VWO,Vanguard FTSE Emerging Markets ETF,59.94,-1.54,Puddle,60.21,-1.08,52.07,"1st: MA20, 10% cash"
2026-09-10T13:10:00-05:00,2026-09-10,ETF,ETF,17,VGT,Vanguard Information Technology ETF,119.52,-1.13,Puddle,119.97,-0.76,55.32,"1st: MA20, 10% cash"
2026-09-10T13:10:00-05:00,2026-09-10,ETF,ETF,31,VYM,Vanguard High Dividend Yield Index ETF,161.84,-0.52,Puddle,162.07,-0.38,37.25,"2nd: MA60, 50% cash, 5d"
2026-09-10T13:10:00-05:00,2026-09-10,ETF,ETF,34,QQQM,Invesco NASDAQ 100 ETF,291.94,-1.03,Puddle,292.75,-0.75,49.92,"2nd: MA60, 50% cash, 5d"
2026-09-10T13:10:00-05:00,2026-09-10,ETF,ETF,52,SMH,VanEck Semiconductor ETF,561.67,-2.2,Puddle,563.43,-1.89,50.33,"1st: MA20, 10% cash"
2026-09-10T13:10:00-05:00,2026-09-10,ETF,ETF,54,SLV,iShares Silver Trust,57.6,-5.14,Puddle,58.18,-4.18,39.38,"1st: MA20, 10% cash"
2026-09-10T13:10:00-05:00,2026-09-10,ETF,ETF,68,DGRO,iShares Core Dividend Growth ETF,77.77,-0.35,Puddle,77.86,-0.23,34.02,"2nd: MA60, 50% cash, 5d"
2026-09-10T13:10:00-05:00,2026-09-10,ETF,ETF,70,VONG,Vanguard Russell 1000 Growth ETF,124.86,-0.99,Puddle,125.27,-0.67,48.93,"2nd: MA60, 50% cash, 5d"
2026-09-10T13:10:00-05:00,2026-09-10,ETF,ETF,77,JEPQ,JPMorgan NASDAQ Equity Premium Income ETF,59.34,-0.74,Puddle,59.45,-0.55,47.52,"2nd: MA60, 50% cash, 5d"
2026-09-10T13:10:00-05:00,2026-09-10,ETF,ETF,78,GDX,VanEck Gold Miners ETF,96.31,-3.18,Puddle,96.93,-2.55,45.52,"1st: MA20, 10% cash"
2026-09-10T13:10:00-05:00,2026-09-10,ETF,ETF,80,DYNF,iShares U.S. Equity Factor Rotation Active ETF,69.12,-0.68,Puddle,69.26,-0.47,54.85,"1st: MA20, 10% cash"
2026-09-10T13:10:00-05:00,2026-09-10,ETF,ETF,82,VGK,Vanguard FTSE Europe ETF,89.44,-0.85,Puddle,89.84,-0.41,34.02,"2nd: MA60, 50% cash, 5d"
2026-09-10T13:10:00-05:00,2026-09-10,ETF,ETF,96,JAAA,Janus Henderson AAA CLO ETF,50.59,0.0,Puddle,50.58,-0.02,40.0,"3rd: MA120, 50% cash, 5d"
2026-09-10T13:10:00-05:00,2026-09-10,Stock,"S&P500,NASDAQ100",S1/N1,NVDA,Nvidia Corp,218.17,-2.46,Puddle,217.95,-2.56,50.71,"1st: MA20, 10% cash"
